id,neighbourhood,LAT_LONG
2324,Harlem,"40.81894, -73.93871"
2325,East Harlem,"40.80985, -73.93838"
2326,Hell's Kitchen,"40.75573, -73.99228"
2327,Hell's Kitchen,"40.75819, -73.99347"
2328,Harlem,"40.81197, -73.93891"
2329,Harlem,"40.81604, -73.94017"
2330,Chelsea,"40.74392, -74.00301"
2331,Chinatown,"40.71781, -73.99569"
2332,Midtown,"40.75457, -73.96248"
2333,Lower East Side,"40.71996, -73.98729"
2334,Midtown,"40.75237, -73.9704"
2335,Harlem,"40.81668, -73.94511"
2336,Harlem,"40.82982, -73.94661"
2337,Financial District,"40.70516, -74.00798"
2338,Hell's Kitchen,"40.76007, -73.99078"
2339,Harlem,"40.81128, -73.94117"
2340,Harlem,"40.81981, -73.95353"
2341,Midtown,"40.75082, -73.98526"
2342,East Village,"40.72724, -73.98639"
2343,SoHo,"40.72577, -74.00279"
2344,Lower East Side,"40.71286, -73.98849"
2345,Morningside Heights,"40.80483, -73.96486"
2346,Washington Heights,"40.83513, -73.94738"
2347,Hell's Kitchen,"40.75546, -73.99582"
2348,East Village,"40.73294, -73.98847"
2349,East Harlem,"40.80078, -73.94335"
2350,Upper East Side,"40.78007, -73.94803"
2351,Upper East Side,"40.78179, -73.95209"
2352,East Harlem,"40.7967, -73.94913"
2353,Midtown,"40.75522, -73.96444"
2354,Murray Hill,"40.74579, -73.9726"
2355,Chelsea,"40.74889, -74.00132"
2356,Upper West Side,"40.79626, -73.96145"
2357,Hell's Kitchen,"40.76175, -73.9892"
2358,East Harlem,"40.78949, -73.94461"
2359,Upper East Side,"40.76718, -73.95715"
2360,East Harlem,"40.79591, -73.94801"
2361,NoHo,"40.72503, -73.99252"
2362,Theater District,"40.75745, -73.98596"
2363,Washington Heights,"40.83266, -73.9414"
2364,East Harlem,"40.78805, -73.94924"
2365,Inwood,"40.85933, -73.92863"
2366,Midtown,"40.74832, -73.98814"
2367,West Village,"40.73435, -74.00392"
